model,score,rating_q025,rating_q975,avg_tokens
gpt-4-turbo-2024-04-09,82.63,80.75,84.6,662.0
claude-3-5-sonnet-20240620,79.35,77.25,80.62,567.0
gpt-4o-2024-05-13,79.21,77.42,80.71,696.0
gpt-4-0125-preview,77.96,75.94,79.9,619.0
athene-70b-0725,76.83,74.84,78.74,683.0
gpt-4o-mini-2024-07-18,74.94,72.66,77.07,668.0
gemini-1.5-pro-api-0514,71.96,69.62,74.62,676.0
yi-large-preview,71.48,69.02,73.37,720.0
mistral-large-2407,70.42,68.11,72.43,623.0
llama-3.1-405b-instruct,64.09,61.43,66.55,633.0
glm-4-0520,63.84,61.28,66.19,636.0
yi-large,63.7,61.76,65.86,626.0
deepseek-coder-v2,62.3,59.82,64.72,578.0
claude-3-opus-20240229,60.36,57.56,62.34,541.0
gemma-2-27b-it,57.51,55.11,60.12,577.0
llama-3.1-70b-instruct,55.73,52.85,58.2,628.0
glm-4-0116,55.72,53.83,58.16,622.0
gemini-1.5-pro-api-0409-preview,53.37,51.13,56.66,478.0
glm-4-air,50.88,48.62,53.21,619.0
gpt-4-0314,50.0,50.0,50.0,423.0
gemini-1.5-flash-api-0514,49.61,47.46,52.17,642.0
qwen2-72b-instruct,46.86,44.57,49.29,515.0
claude-3-sonnet-20240229,46.8,44.12,49.04,552.0
llama-3-70b-instruct,46.57,43.84,49.18,591.0
claude-3-haiku-20240307,41.47,39.57,44.02,505.0
gpt-4-0613,37.9,35.6,40.36,354.0
mistral-large-2402,37.71,34.81,39.77,400.0
mixtral-8x22b-instruct-v0.1,36.36,34.21,38.55,430.0
qwen1.5-72b-chat,36.12,33.88,38.15,474.0
phi-3-medium-4k-instruct,33.37,31.26,35.14,517.0
command-r-plus,33.07,30.85,35.12,541.0
mistral-medium,31.9,29.66,34.31,485.0
phi-3-small-8k-instruct,29.77,27.94,31.97,568.0
mistral-next,27.37,25.4,29.09,297.0
gpt-3.5-turbo-0613,24.82,22.54,26.29,401.0
dbrx-instruct-preview,24.63,22.33,26.83,415.0
claude-2.0,23.99,21.71,25.65,295.0
mixtral-8x7b-instruct-v0.1,23.4,21.38,25.41,457.0
gpt-3.5-turbo-0125,23.34,21.67,25.27,329.0
yi-34b-chat,23.15,20.75,24.7,611.0
starling-lm-7b-beta,23.01,20.81,24.66,530.0
claude-2.1,22.77,20.65,25.43,290.0
llama-3.1-8b-instruct,21.34,19.71,23.09,861.0
snorkel-mistral-pairrm-dpo,20.73,19.04,22.05,564.0
llama-3-8b-instruct,20.56,18.82,22.61,585.0
gpt-3.5-turbo-1106,18.87,17.06,20.58,285.0
gpt-3.5-turbo-0314,18.05,16.57,20.06,334.0
gemini-pro,17.8,15.96,19.32,322.0
snowflake-arctic-instruct,17.61,16.12,19.27,365.0
command-r,17.02,15.73,18.51,432.0
phi-3-mini-128k-instruct,15.43,13.94,17.02,609.0
tulu-2-dpo-70b,14.99,13.05,16.82,550.0
starling-lm-7b-alpha,12.8,11.23,14.5,483.0
mistral-7b-instruct,12.57,11.05,14.11,541.0
gemma-1.1-7b-it,12.09,10.61,13.43,341.0
llama-2-70b-chat,11.55,10.02,13.01,595.0
vicuna-33b,8.63,7.59,9.84,451.0
gemma-7b-it,7.47,6.5,8.6,378.0
gemma-1.1-2b-it,3.37,2.74,4.14,316.0
gemma-2b-it,3.0,2.33,3.67,369.0
