model,Computation_complete,Computation_instruct,Cryptography_complete,Cryptography_instruct,General_complete,General_instruct,Network_complete,Network_instruct,System_complete,System_instruct,Time_complete,Time_instruct,Visualization_complete,Visualization_instruct
Artigenz-Coder-DS-6.7B,46.6,35.8,61.6,43.4,48.5,42.0,28.6,21.4,46.5,40.4,39.0,34.6,41.9,31.0
Athene-70B,51.8,36.6,45.5,35.4,45.6,40.3,27.1,20.0,40.6,34.3,33.8,28.7,44.7,31.5
Athene-V2-Agent,59.2,44.9,55.6,53.5,58.3,49.8,27.1,25.0,49.3,47.0,41.2,36.0,55.8,41.9
Athene-V2-Chat,59.1,48.1,63.6,51.5,58.7,49.2,37.1,27.1,50.5,44.2,42.6,34.6,54.1,45.9
AutoCoder,52.4,39.6,53.5,52.5,55.3,43.7,25.7,21.4,48.1,40.4,48.5,30.9,47.5,32.7
AutoCoder-QW-7B,41.0,29.9,51.5,37.4,43.7,36.7,25.0,16.4,39.5,31.8,35.3,23.5,33.5,24.4
AutoCoder-S-6.7B,45.1,34.2,52.5,48.5,47.0,37.7,30.7,23.6,48.3,36.9,44.9,32.4,38.3,29.4
C4AI-Command-R-08-2024,45.6,36.4,45.5,43.4,45.9,39.8,25.7,18.6,44.1,37.8,37.5,30.9,37.8,28.2
Claude-3-Haiku-20240307,50.8,38.4,54.5,46.5,52.5,44.0,26.4,20.7,45.1,38.1,40.4,37.5,50.5,35.5
Claude-3-Opus-20240229,57.9,45.8,62.6,49.5,59.2,49.4,40.7,26.4,50.7,38.6,52.9,37.5,55.1,43.1
Claude-3-Sonnet-20240229,55.2,41.5,56.6,42.4,53.1,46.9,35.0,21.4,49.7,42.8,48.5,36.8,51.3,38.1
Claude-3.5-Haiku-20241022,59.9,46.4,60.6,48.5,63.3,49.5,37.1,30.0,49.5,42.1,51.5,40.4,58.6,43.9
Claude-3.5-Sonnet-20240620,60.5,48.4,59.6,47.5,60.6,47.5,30.7,25.7,50.0,41.8,50.7,38.2,58.1,45.4
Claude-3.5-Sonnet-20241022,59.7,45.1,54.5,49.5,60.3,47.9,35.0,28.6,48.6,39.3,55.9,36.8,56.1,43.7
CodeGeex4-All-9B,48.6,38.2,49.5,52.5,52.8,43.1,34.3,28.6,44.8,38.3,45.6,35.3,42.1,35.8
CodeGemma-2B,21.3,,29.3,,25.4,,18.6,,28.0,,19.1,,18.5,
CodeGemma-7B,37.7,,47.5,,41.1,,27.1,,37.6,,28.7,,28.4,
CodeGemma-7B-Instruct,39.6,31.8,36.4,30.3,42.3,33.8,27.1,17.1,33.7,30.8,27.9,23.5,34.3,27.7
CodeLlama-13B-Base,28.7,,37.4,,32.8,,25.7,,36.0,,30.9,,22.3,
CodeLlama-13B-Instruct,27.9,25.6,44.4,34.3,32.6,30.7,21.4,20.7,34.6,27.4,26.5,29.4,23.4,22.6
CodeLlama-34B-Base,35.1,,44.4,,35.1,,37.9,,42.0,,29.4,,32.0,
CodeLlama-34B-Instruct,32.1,26.1,42.4,30.3,37.8,32.2,25.7,19.3,37.6,28.7,26.5,27.9,27.9,24.1
CodeLlama-70B-Base,41.6,,46.5,,44.3,,40.0,,45.3,,37.5,,38.3,
CodeLlama-70B-Instruct,48.6,36.6,57.6,48.5,50.2,41.3,38.6,32.9,48.3,45.1,42.6,35.3,43.7,35.3
CodeLlama-7B-Base,26.3,,42.4,,26.3,,24.3,,33.6,,24.3,,20.8,
CodeLlama-7B-Instruct,21.4,18.5,31.3,26.3,25.1,26.4,22.1,14.3,32.3,23.6,23.5,18.4,17.5,15.5
CodeQwen1.5-7B,45.1,,43.4,,47.9,,29.3,,44.1,,38.2,,40.1,
CodeQwen1.5-7B-Chat,42.0,37.7,47.5,56.6,46.2,42.7,35.0,27.9,43.7,40.6,39.0,29.4,35.8,30.7
Codestral-22B-v0.1,53.0,40.0,51.5,48.5,55.3,45.7,34.3,34.3,47.4,40.2,46.3,35.3,47.0,35.5
Codestral-Mamba,43.1,34.3,57.6,40.4,48.2,40.1,22.1,24.3,43.4,34.6,36.8,24.3,35.5,30.7
Command R+,41.2,32.3,48.5,37.4,41.1,36.1,26.4,12.1,39.9,35.7,37.5,30.1,38.1,30.2
