model,GSM8K,LegalBench,MATH,MMLU,Mean win rate,MedQA,NarrativeQA,NaturalQuestions (closed-book),NaturalQuestions (open-book),OpenbookQA,WMT 2014
Anthropic Claude 2.0,0.583,0.6431955817921604,0.6027165409050355,0.639298245614035,0.6793103448275862,0.6520874751491054,0.7176573220461364,0.4278073763812108,0.67019677256217,0.862,0.21900739878736455
Anthropic Claude 2.1,0.604,0.6428163107262121,0.6321468050966216,0.6432982456140351,0.593103448275862,0.6441351888667992,0.6770119068282102,0.37511663259487643,0.6107197144743313,0.872,0.20428512286077702
Anthropic Claude Instant 1.2,0.721,0.5862483550253602,0.49868392408172085,0.6308070175438597,0.5620689655172414,0.558648111332008,0.61587810486012,0.34322234970064514,0.7309513133438542,0.844,0.19427315928341765
Anthropic Claude v1.3,0.784,0.629311936712158,0.5404430376278602,0.6310526315789474,0.7241379310344828,0.6182902584493042,0.723150787350498,0.40885082169503945,0.6992205134559425,0.908,0.21852862176698085
Cohere Command,0.452,0.5775312900780561,0.2359498178959623,0.525157894736842,0.46206896551724136,0.44532803180914515,0.748757488257181,0.39111384104746405,0.7768791442376555,0.774,0.0881786096035731
Cohere Command Light,0.149,0.3966927589507049,0.09813347720324464,0.3856491228070175,0.1482758620689655,0.3121272365805169,0.6294598740957924,0.19510428131457905,0.6858245756174158,0.398,0.022554531557801464
Falcon (40B),0.267,0.4418339946791853,0.12762334677879353,0.5069122807017543,0.32413793103448274,0.4194831013916501,0.6705103367078968,0.39238346766141513,0.6764905578489675,0.662,0.16187038401589685
Falcon (7B),0.055,0.346112465866886,0.0437872907273152,0.28814035087719303,0.05517241379310345,0.2544731610337972,0.6210887417964561,0.28519479870983677,0.5804092414377209,0.26,0.09410095284050815
GPT-3.5 (text-davinci-002),0.479,0.5802111877591993,0.42812664238612835,0.5682456140350877,0.5137931034482759,0.5248508946322068,0.7191082981361542,0.39413936756218626,0.709725528129197,0.796,0.17444555838609413
GPT-3.5 (text-davinci-003),0.615,0.6219796743708239,0.44940748312841333,0.5547368421052632,0.6206896551724138,0.5308151093439364,0.7308179266219924,0.4134401941760032,0.7697538952991528,0.828,0.19114446816962385
GPT-3.5 Turbo (0613),0.501,0.5283293461368486,0.6667095586312232,0.614,0.506896551724138,0.6222664015904572,0.6545452493962763,0.334590535421788,0.6775232576261939,0.838,0.1874826961367359
GPT-4 (0613),0.932,0.7127682635939792,0.8024156744474984,0.734842105263158,0.9620689655172414,0.8151093439363817,0.7677791724251858,0.4568767355321626,0.7896684683368644,0.96,0.21051123816678335
