model,coding,instruction_following,language
DeepSeek-Coder-V2-Lite-Instruct,0.2578125,0.5576923076923077,0.10580193234783969
DeepSeek-R1-Distill-Qwen-32B,0.3828125,0.3481666666666666,0.26924849926433525
DeepSeek-V2-Lite-Chat,0.078125,0.5673076923076923,0.09175236567339261
Dracarys2-72B-Instruct,,0.645,0.27666666666666667
Llama-2-7b-chat-hf,0.015625,0.45032051282051283,0.06593210090317958
Llama-3.1-Nemotron-70B-Instruct-HF,,0.5285,0.25666666666666665
Meta-Llama-3-70B-Instruct,0.2421875,0.7900641025641026,0.3431767870881306
Meta-Llama-3-8B-Instruct,0.2109375,0.6378205128205128,0.18925652762204617
Meta-Llama-3.1-405B-Instruct-Turbo,0.4375,0.7772435897435896,0.5002445398707682
Meta-Llama-3.1-70B-Instruct-Turbo,0.328125,0.8669871794871795,0.4257282240035689
Meta-Llama-3.1-8B-Instruct-Turbo,0.21875,0.5384615384615384,0.202667075651031
Mistral-7B-Instruct-v0.2,0.15625,0.6282051282051282,0.08773121361732694
Mistral-7B-Instruct-v0.3,0.125,0.530448717948718,0.11599960151515702
Mixtral-8x22B-Instruct-v0.1,0.32954545454545453,0.7419871794871795,0.2634992704883414
Mixtral-8x7B-Instruct-v0.1,0.125,0.578525641025641,0.13581117118041053
OpenHermes-2.5-Mistral-7B,0.1484375,0.6634615384615384,0.1110149533659844
Phi-3-medium-128k-instruct,0.234375,0.7275641025641026,0.1261283055618814
Phi-3-medium-4k-instruct,0.21875,0.5352564102564102,0.13779164236056174
Phi-3-mini-128k-instruct,0.16796875,0.5480769230769231,0.07512503522591886
Phi-3-mini-4k-instruct,0.171875,0.6538461538461539,0.07693290692813136
Phi-3-small-128k-instruct,0.24757281553398058,0.7419871794871795,0.1565838826690884
Phi-3-small-8k-instruct,0.20388349514563106,0.6923076923076923,0.1507512587832819
Phi-3.5-MoE-instruct,0.234375,0.6282051282051282,0.17275736883404572
Phi-3.5-mini-instruct,0.171875,0.7115384615384616,0.09511572067738522
QwQ-32B-Preview,0.4140625,0.3678333333333333,0.23630258826330477
Qwen1.5-0.5B-Chat,0.0,0.2644230769230769,0.024665782333353942
Qwen1.5-1.8B-Chat,0.0,0.29967948717948717,0.027048724011959825
Qwen1.5-110B-Chat,0.2265625,0.5512820512820513,0.13073238428553488
Qwen1.5-4B-Chat,0.0546875,0.36217948717948717,0.0554146224765
Qwen1.5-72B-Chat,0.234375,0.7339743589743589,0.10898860540357536
Qwen1.5-7B-Chat,0.1015625,0.49038461538461536,0.05834343051787696
Qwen2-0.5B-Instruct,0.015625,0.34294871794871795,0.024042861740561958
Qwen2-1.5B-Instruct,0.0546875,0.41506410256410253,0.026127751327035712
Qwen2-72B-Instruct,0.3203125,0.8541666666666666,0.28897369069703555
Qwen2-7B-Instruct,0.3046875,0.46153846153846156,0.09892793713181923
Qwen2.5-72B-Instruct-Turbo,0.5625,0.7440789473684211,0.3527654645619422
Qwen2.5-7B-Instruct-Turbo,0.38671875,0.5801535087719298,0.14485427807302578
Qwen2.5-Coder-32B-Instruct,0.5703125,0.6485745614035088,0.24558498268926762
Reflection-Llama-3.1-70B,0.1953125,0.5737179487179487,0.33916012193346246
