,mmlu/abstract_algebra,mmlu/anatomy,mmlu/astronomy,mmlu/business_ethics,mmlu/clinical_knowledge,mmlu/college_biology,mmlu/college_chemistry,mmlu/college_computer_science,mmlu/college_mathematics,mmlu/college_medicine,mmlu/college_physics,mmlu/computer_security,mmlu/conceptual_physics,mmlu/econometrics,mmlu/electrical_engineering,mmlu/elementary_mathematics,mmlu/formal_logic,mmlu/global_facts,mmlu/high_school_biology,mmlu/high_school_chemistry,mmlu/high_school_computer_science,mmlu/high_school_european_history,mmlu/high_school_geography,mmlu/high_school_government_and_politics,mmlu/high_school_macroeconomics,mmlu/high_school_mathematics,mmlu/high_school_microeconomics,mmlu/high_school_physics,mmlu/high_school_psychology,mmlu/high_school_statistics,mmlu/high_school_us_history,mmlu/high_school_world_history,mmlu/human_aging,mmlu/human_sexuality,mmlu/international_law,mmlu/jurisprudence,mmlu/logical_fallacies,mmlu/machine_learning,mmlu/management,mmlu/marketing,mmlu/medical_genetics,mmlu/miscellaneous,mmlu/moral_disputes,mmlu/moral_scenarios,mmlu/nutrition,mmlu/philosophy,mmlu/prehistory,mmlu/professional_accounting,mmlu/professional_law,mmlu/professional_medicine,mmlu/professional_psychology,mmlu/public_relations,mmlu/security_studies,mmlu/sociology,mmlu/us_foreign_policy,mmlu/virology,mmlu/world_religions,open_llm/IFEval,open_llm/BBH,open_llm/MATH_Lvl5,open_llm/GPQA,open_llm/MUSR,open_llm/MMLU-PRO,helm/GSM8K,helm/LegalBench,helm/MATH,helm/MMLU,helm/Mean win rate,helm/MedQA,helm/NarrativeQA,helm/NaturalQuestions (closed-book),helm/NaturalQuestions (open-book),helm/OpenbookQA,helm/WMT 2014,alpaca_eval/win_rate,alpaca_eval/discrete_win_rate,alpaca_eval/length_controlled_winrate,arena_hard/score,livebench/coding,livebench/instruction_following,livebench/language,wildbench/Advice seeking,wildbench/Brainstorming,wildbench/Coding & Debugging,wildbench/Creative Writing,wildbench/Data Analysis,wildbench/Editing,wildbench/Information seeking,wildbench/Math,wildbench/Planning,wildbench/Reasoning,wildbench/Role playing,mt_bench/coding,mt_bench/extraction,mt_bench/humanities,mt_bench/math,mt_bench/reasoning,mt_bench/roleplay,mt_bench/stem,mt_bench/writing,bigcode/Computation_complete,bigcode/Computation_instruct,bigcode/Cryptography_complete,bigcode/Cryptography_instruct,bigcode/General_complete,bigcode/General_instruct,bigcode/Network_complete,bigcode/Network_instruct,bigcode/System_complete,bigcode/System_instruct,bigcode/Time_complete,bigcode/Time_instruct,bigcode/Visualization_complete,bigcode/Visualization_instruct
athene-70b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5378151260504,65.23809523809526,58.95734597156398,60.66390041493776,60.0,56.7741935483871,59.8776758409786,53.41614906832298,62.156133828996296,60.15717092337919,62.14285714285715,,,,,,,,,51.8,36.6,45.5,35.4,45.6,40.3,27.1,20.0,40.6,34.3,33.8,28.7,44.7,31.5
claude-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583,0.6431955817921604,0.6027165409050355,0.639298245614035,0.6793103448275862,0.6520874751491054,0.7176573220461364,0.4278073763812108,0.67019677256217,0.862,0.2190073987873645,,,,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,0.6428163107262121,0.6321468050966216,0.6432982456140351,0.593103448275862,0.6441351888667992,0.6770119068282102,0.3751166325948764,0.6107197144743313,0.872,0.204285122860777,15.733506736409938,14.409937888198757,25.251943886133027,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-5-haiku-20241022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5078125,0.6576754385964912,0.3950093477664448,,,,,,,,,,,,,,,,,,,,59.9,46.4,60.6,48.5,63.3,49.5,37.1,30.0,49.5,42.1,51.5,40.4,58.6,43.9
claude-3-5-sonnet-20240620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.56021409682828,38.75776397515528,52.36675427146999,79.35,0.6015625,0.7062499999999999,0.5217941447773491,56.97478991596638,57.61904761904763,56.509433962264154,55.518672199170126,51.99999999999999,57.74193548387096,55.65749235474007,45.4320987654321,55.68773234200744,54.951076320939336,52.61904761904763,,,,,,,,,60.5,48.4,59.6,47.5,60.6,47.5,30.7,25.7,50.0,41.8,50.7,38.2,58.1,45.4
claude-3-5-sonnet-20241022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65625,0.6916666666666667,0.563598532725614,,,,,,,,,,,,,,,,,,,,59.7,45.1,54.5,49.5,60.3,47.9,35.0,28.6,48.6,39.3,55.9,36.8,56.1,43.7
claude-3-haiku-20240307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.47,0.25,0.5570175438596492,0.2661653557095466,47.7310924369748,41.66666666666666,36.9811320754717,42.9045643153527,39.40740740740742,42.41935483870968,44.64831804281346,22.716049382716044,43.64312267657992,40.90019569471623,43.57142857142858,,,,,,,,,50.8,38.4,54.5,46.5,52.5,44.0,26.4,20.7,45.1,38.1,40.4,37.5,50.5,35.5
claude-3-opus-20240229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.10526953334248,27.888198757763977,40.5095080124761,60.36,0.3828125,0.6509868421052631,0.5273302947210116,56.63865546218487,54.04761904761905,53.301886792452834,51.95020746887966,49.62962962962963,53.70967741935484,53.027522935779814,41.60493827160494,53.68029739776952,52.133072407045006,50.71428571428571,,,,,,,,,57.9,45.8,62.6,49.5,59.2,49.4,40.7,26.4,50.7,38.6,52.9,37.5,55.1,43.1
claude-3-sonnet-20240229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.556325292273296,24.22360248447205,34.87247436243302,46.8,0.2734375,0.6362179487179488,0.3836902355584627,49.07563025210085,50.23809523809524,46.09523809523809,45.06224066390041,46.567164179104466,47.41935483870968,46.972477064220186,34.19753086419753,50.149253731343286,45.79256360078277,45.95238095238095,,,,,,,,,55.2,41.5,56.6,42.4,53.1,46.9,35.0,21.4,49.7,42.8,48.5,36.8,51.3,38.1
claude-instant-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721,0.5862483550253602,0.4986839240817208,0.6308070175438597,0.5620689655172414,0.558648111332008,0.61587810486012,0.3432223497006451,0.7309513133438542,0.844,0.1942731592834176,16.12739962159006,15.093167701863356,25.61225902543337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
