model,IFEval,BBH,MATH_Lvl5,GPQA,MUSR,MMLU-PRO
0-hero/Matter-0.2-7B-DPO,0.26247689463955637,0.35844471445929527,0.014350453172205438,0.25922818791946306,0.38095238095238093,0.1163563829787234
01-ai/Yi-1.5-34B-32K,0.2532347504621072,0.5981600416594341,0.1540785498489426,0.36325503355704697,0.43915343915343913,0.4709109042553192
01-ai/Yi-1.5-34B-Chat-16K,0.39371534195933455,0.6070126714112133,0.21374622356495468,0.33808724832214765,0.43915343915343913,0.45445478723404253
01-ai/Yi-1.5-34B-Chat,0.5526802218114603,0.6064919284846381,0.277190332326284,0.3649328859060403,0.42724867724867727,0.45204454787234044
01-ai/Yi-1.5-34B,0.21811460258780038,0.5953827460510328,0.15332326283987915,0.36577181208053694,0.42328042328042326,0.4665890957446808
01-ai/Yi-1.5-6B-Chat,0.45471349353049906,0.4528727651449401,0.1623867069486405,0.30201342281879195,0.43783068783068785,0.3193151595744681
01-ai/Yi-1.5-6B,0.2199630314232902,0.4481860788057629,0.06646525679758308,0.313758389261745,0.4365079365079365,0.31441156914893614
01-ai/Yi-1.5-9B-32K,0.18484288354898337,0.49401145634438465,0.10800604229607251,0.35906040268456374,0.41798941798941797,0.37649601063829785
01-ai/Yi-1.5-9B-Chat-16K,0.3512014787430684,0.5124110397500434,0.1782477341389728,0.3087248322147651,0.4087301587301587,0.39935172872340424
01-ai/Yi-1.5-9B-Chat,0.5508317929759704,0.5528554070473876,0.2258308157099698,0.3347315436241611,0.4246031746031746,0.39752327127659576
01-ai/Yi-1.5-9B,0.23105360443622922,0.513626106578719,0.11404833836858005,0.37919463087248323,0.43253968253968256,0.3916223404255319
01-ai/Yi-34B-200K,0.12384473197781885,0.5401839958340566,0.05740181268882175,0.3565436241610738,0.38095238095238093,0.45345744680851063
01-ai/Yi-34B-Chat,0.4121996303142329,0.5526818260718626,0.06268882175226587,0.33808724832214765,0.3968253968253968,0.4093251329787234
01-ai/Yi-34B,0.24584103512014788,0.5450442631487589,0.0513595166163142,0.36661073825503354,0.4113756613756614,0.441156914893617
01-ai/Yi-6B-200K,0.07393715341959335,0.4245790661343517,0.01812688821752266,0.28187919463087246,0.4576719576719577,0.2844082446808511
01-ai/Yi-6B-Chat,0.2809611829944547,0.40878319736156915,0.013595166163141994,0.29446308724832215,0.36772486772486773,0.3061003989361702
01-ai/Yi-6B,0.22735674676524953,0.42666203784065265,0.015861027190332326,0.26929530201342283,0.39285714285714285,0.29911901595744683
01-ai/Yi-9B-200K,0.18484288354898337,0.4780420065960771,0.06646525679758308,0.31543624161073824,0.42857142857142855,0.36220079787234044
01-ai/Yi-9B,0.2144177449168207,0.492622808540184,0.055891238670694864,0.3179530201342282,0.40476190476190477,0.35738031914893614
