model,Advice seeking,Brainstorming,Coding & Debugging,Creative Writing,Data Analysis,Editing,Information seeking,Math,Planning,Reasoning,Role playing
Athene-70B,64.5378151260504,65.23809523809526,58.95734597156398,60.66390041493776,60.0,56.7741935483871,59.8776758409786,53.41614906832298,62.156133828996296,60.15717092337919,62.14285714285715
Hermes-2-Theta-Llama-3-8B,48.06722689075631,40.476190476190474,23.113207547169807,39.25311203319502,30.746268656716413,38.064516129032256,39.816513761467895,5.838509316770182,38.364312267658,31.529411764705877,39.76190476190476
Llama-2-70b-chat-hf,43.72881355932204,43.80952380952381,9.333333333333336,40.829875518672196,16.969696969696972,37.5609756097561,36.932515337423325,-11.055900621118013,33.656716417910445,24.921259842519685,39.04761904761905
Llama-2-7b-chat-hf,37.62711864406781,32.38095238095237,-6.794258373205739,29.128630705394194,8.33333333333334,28.85245901639344,25.644171779141107,-24.5,21.940298507462686,14.161735700197244,28.809523809523814
Llama-3-8B-Magpie-Align-v0.1,55.63025210084034,52.38095238095237,33.74407582938389,49.95850622406639,40.45112781954888,43.70967741935484,47.21712538226299,18.63354037267081,47.21189591078067,41.41176470588235,50.476190476190474
Llama-3-Instruct-8B-SimPO,56.80672268907563,52.85714285714286,31.753554502369674,51.78423236514522,35.97014925373134,46.61290322580646,45.87155963302752,11.604938271604937,47.06319702602231,38.82583170254403,50.95238095238095
Llama-3-Instruct-8B-SimPO-ExPO,53.94957983193278,53.33333333333334,28.584905660377355,48.54771784232366,34.37037037037037,45.322580645161295,45.4434250764526,8.198757763975149,44.90706319702602,37.72549019607844,51.42857142857142
Llama-3-Instruct-8B-SimPO-v0.2,54.28571428571429,50.476190476190474,31.50943396226415,53.609958506224075,37.03703703703704,47.096774193548384,46.29969418960245,11.552795031055894,45.650557620817835,38.90196078431373,55.476190476190474
Meta-Llama-3-70B-Instruct,56.30252100840336,55.71428571428571,44.71698113207546,54.416666666666664,49.333333333333336,52.41935483870968,51.25382262996942,34.93827160493828,51.67286245353161,49.510763209393346,56.42857142857142
Meta-Llama-3-8B-Instruct,45.54621848739495,45.23809523809524,21.9811320754717,42.98755186721992,29.037037037037035,43.87096774193548,37.370030581039764,3.8509316770186253,40.743494423791816,32.39215686274509,42.38095238095237
